number,lesson,situation,exact_french,english_meaning,treatment,verdict,preferred_correction,acceptable_alternatives,register_or_naturalness_note,short_reason,reviewer_name,review_date
241,Lesson 8,Once you have been pointed the right way.,Merci beaucoup !,Thank you very much!,MODEL,,,,,,,
242,Lesson 8,The softened version of the bare question.,"C'est où, s'il vous plaît ?","Where is it, please?",ACCEPTED ALTERNATIVE,,,,,,,
243,Lesson 9,The afternoon has been long.,Je voudrais faire une pause.,I'd like to take a break.,PRODUCE,,,,,,,
244,Lesson 9,"The same ask, softened.","Je voudrais faire une pause, s'il vous plaît.","I'd like to take a break, please.",PRODUCE,,,,,,,
245,Lesson 9,Asking for the break itself rather than the act.,Je voudrais une pause.,I'd like a break.,ACCEPTED ALTERNATIVE,,,,,,,
246,Lesson 9,The others are mid-conversation and you need to stop.,"Excusez-moi, je voudrais faire une pause.","Excuse me, I'd like to take a break.",PRODUCE,,,,,,,
247,Lesson 9,Telling them rather than asking them.,Je vais faire une pause.,I'm going to take a break.,PRODUCE,,,,,,,
248,Lesson 9,"The action, learned as one piece.",faire une pause,to take a break,SUPPORTED,,,,,,,
249,Lesson 9,"The thing itself, beside the action.",une pause,a break,SUPPORTED,,,,,,,
250,Lesson 9,"Shown beside the break: one engine, a thing and an action.",Je voudrais un café.,I'd like a coffee.,PRODUCE,,,,,,,
251,Lesson 9,"The refusal, shown rather than asked for.",Je ne veux pas faire une pause.,I don't want to take a break.,READ/LISTEN,,,,,,,
252,Lesson 9,Suggesting it to the group; heard here.,On fait une pause ?,Shall we take a break?,READ/LISTEN,,,,,,,
253,Lesson 9,"The decision, once it's made.",On fait une pause.,We're taking a break.,INTERLOCUTOR,,,,,,,
254,Lesson 9,"The reason, then the ask.",Je suis fatigué. Je voudrais faire une pause.,I'm tired. I'd like to take a break.,MODEL,,,,,,,
255,Lesson 9,"A state, and the request it leads to.","J'ai soif. Je voudrais un café, s'il vous plaît.","I'm thirsty. I'd like a coffee, please.",MODEL,,,,,,,
256,Lesson 9,One natural way to say when.,Je voudrais faire une pause maintenant.,I'd like to take a break now.,MODEL,,,,,,,
257,Lesson 9,"The ask, closed politely.",Je voudrais faire une pause. Merci.,I'd like to take a break. Thank you.,MODEL,,,,,,,
258,Lesson 9,Someone offers before you have to ask.,Vous voulez faire une pause ?,Would you like to take a break?,INTERLOCUTOR,,,,,,,
259,Lesson 9,They notice before you say anything.,Vous êtes fatigué ?,Are you tired?,INTERLOCUTOR,,,,,,,
260,Lesson 9,The other thing they might notice.,Vous avez soif ?,Are you thirsty?,INTERLOCUTOR,,,,,,,
261,Lesson 9,The offer that usually follows.,Un café ?,Coffee?,INTERLOCUTOR,,,,,,,
262,Lesson 9,How long the break is going to be.,Cinq minutes ?,Five minutes?,INTERLOCUTOR,,,,,,,
263,Lesson 9,The warm agreement to your suggestion.,Bonne idée !,Good idea!,INTERLOCUTOR,,,,,,,
264,Lesson 9,The plain agreement.,D'accord.,All right.,INTERLOCUTOR,,,,,,,
265,Lesson 9,The easy yes.,Pas de problème.,No problem.,INTERLOCUTOR,,,,,,,
266,Lesson 9,Heard as things are rescheduled.,Après la pause.,After the break.,INTERLOCUTOR,,,,,,,
267,Lesson 9,Asked when you look like you need to stop.,Ça va ?,Are you all right?,INTERLOCUTOR,,,,,,,
268,Lesson 9,One natural way to answer it.,"Ça va, merci.","I'm fine, thank you.",MODEL,,,,,,,
269,Lesson 9,Turning down the break itself.,"Non merci, ça va.","No thanks, I'm fine.",MODEL,,,,,,,
270,Lesson 9,Accepting the offer of a break.,"Oui, merci.","Yes, thank you.",PRODUCE,,,,,,,
271,Lesson 9,Still there when the plan changes fast.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
272,Lesson 9,The repeat request.,Vous pouvez répéter ?,Can you say that again?,SUPPORTED,,,,,,,
273,Lesson 10,"Morning, first time in the building.",Bonjour. C'est où ?,Hello. Where is it?,PRODUCE,,,,,,,
274,Lesson 10,The same opening run as one turn.,"Bonjour, c'est où ?","Hello, where is it?",ACCEPTED ALTERNATIVE,,,,,,,
275,Lesson 10,Looking for somewhere to sit at midday.,"Excusez-moi, le café c'est où ?","Excuse me, where's the café?",MODEL,,,,,,,
276,Lesson 10,They answered fast and you caught almost none of it.,"Excusez-moi, je ne comprends pas. Vous pouvez répéter ?","Excuse me, I don't understand. Can you say that again?",PRODUCE,,,,,,,
277,Lesson 10,The same recovery without the opener.,Je ne comprends pas. Vous pouvez répéter ?,I don't understand. Can you say that again?,ACCEPTED ALTERNATIVE,,,,,,,
278,Lesson 10,Arriving where you are expected.,Bonjour. Je suis ici.,Hello. I'm here.,PRODUCE,,,,,,,
279,Lesson 10,The morning did not go to plan.,"Bonjour, je suis en retard.","Hello, I'm late.",PRODUCE,,,,,,,
280,Lesson 10,The thing you came to ask.,J'ai une question.,I have a question.,PRODUCE,,,,,,,
281,Lesson 10,"Midday, and you've been on your feet.",Je voudrais faire une pause.,I'd like to take a break.,PRODUCE,,,,,,,
282,Lesson 10,The reason and the ask together (man speaking).,Je suis fatigué. Je voudrais faire une pause.,I'm tired. I'd like to take a break.,MODEL,,,,,,,
283,Lesson 10,"The same, when a woman says it.",Je suis fatiguée. Je voudrais faire une pause.,I'm tired. I'd like to take a break.,MODEL,,,,,,,
284,Lesson 10,"The break, and what you do with it.","J'ai soif. Je voudrais un thé, s'il vous plaît.","I'm thirsty. I'd like a tea, please.",MODEL,,,,,,,
285,Lesson 10,The order you have had since the first lesson.,"Je voudrais un café, s'il vous plaît.","I'd like a coffee, please.",PRODUCE,,,,,,,
286,Lesson 10,Now you can answer the question you asked this morning.,C'est ici.,It's here.,PRODUCE,,,,,,,
287,Lesson 10,"The other answer, just as useful.","Non, ce n'est pas ici.","No, it's not here.",PRODUCE,,,,,,,
288,Lesson 10,The end of your first full day.,Merci. Je vais à la maison. Au revoir.,Thank you. I'm going home. Goodbye.,PRODUCE,,,,,,,
289,Lesson 10,"The same leaving, without the thanks.",Je vais à la maison. Au revoir.,I'm going home. Goodbye.,ACCEPTED ALTERNATIVE,,,,,,,
290,Lesson 10,Turning down one last coffee at the door.,"Non merci, je vais à la maison.","No thanks, I'm going home.",MODEL,,,,,,,
291,Lesson 10,The shortest complete exit.,"Merci, au revoir.","Thank you, goodbye.",PRODUCE,,,,,,,
292,Lesson 10,"The warmest exit, back on the last day.","Merci beaucoup, au revoir !","Thank you very much, goodbye!",MODEL,,,,,,,
293,Lesson 10,Because you are coming back.,"Au revoir, à demain !","Goodbye, see you tomorrow!",MODEL,,,,,,,
294,Lesson 10,One natural way to close a first day.,Merci pour tout.,Thanks for everything.,MODEL,,,,,,,
295,Lesson 10,The opener that has worked all day.,Excusez-moi.,Excuse me.,SUPPORTED,,,,,,,
296,Lesson 10,Accepting an answer and closing the beat.,"D'accord, merci.","All right, thank you.",MODEL,,,,,,,
297,Lesson 10,Listen only — this one arrives next lesson.,Vous pouvez m'aider ?,Can you help me?,READ/LISTEN,,,,,,,
298,Lesson 10,The same shape pointed the other way; heard today.,Je peux vous aider ?,Can I help you?,INTERLOCUTOR,,,,,,,
299,Lesson 10,Called down a corridor as you arrive.,Bonjour ! Vous êtes là ?,Hello! Are you there?,INTERLOCUTOR,,,,,,,
300,Lesson 10,The answer to your first question of the day.,C'est par là.,It's that way.,INTERLOCUTOR,,,,,,,
301,Lesson 10,Someone else suggests it first.,On fait une pause ?,Shall we take a break?,INTERLOCUTOR,,,,,,,
302,Lesson 10,Heard as you head out at midday.,Bonne journée !,Have a good day!,INTERLOCUTOR,,,,,,,
303,Lesson 10,Heard as you leave for the last time.,Bonne soirée !,Have a good evening!,INTERLOCUTOR,,,,,,,
304,Lesson 10,The last thing said to you.,À demain !,See you tomorrow!,INTERLOCUTOR,,,,,,,
305,Lesson 10,The reply to your thanks at the door.,Je vous en prie.,You're welcome.,INTERLOCUTOR,,,,,,,
