candidate_id,lesson,communicative_moment,preferred_french,english_meaning,natural_alternatives,scene,register,learner_role,production_status,expected_action,active_new_chunks,recycled_chunks,protected_package,first_contact_lesson,first_production_lesson,reuse_lessons,current_surface_status,current_surface_reference,rationale,founder_verdict,founder_note,human_qa_verdict,reviewer_correction,reviewer_natural_alternatives,reviewer_register_note,reviewer_rationale,reviewer_name,review_date
C-L08-07,L8,Here and there,C'est là.,It's there.,,Ghost beside c'est ici: what a French speaker points with.,vous / neutral,ghost,ghost / exposure only,read,,chunk-c-est,n/a — exposure only,L2,never produced,none,ADD,L8: no current surface,"là was ghosted in L2 and never returns. One reappearance here, in the lesson about locating things, is where it earns its place.",,,,,,,,,
C-L09-01,L9,Ask to take a break,Je voudrais faire une pause.,I'd like to take a break.,Je voudrais une pause.,"The afternoon has been long, and your head is getting heavy.",vous / neutral,core-production,produced (typed),type,chunk-faire-une-pause,chunk-je-voudrais chunk-faire-une-pause,faire une pause is ONE package; the wider faire system is not taught,L9,L9,L10,REVISE,"L9: L9/s04-weave-ask-for-a-break (also produced at L10/s04) || L10: L10/s04-weave-midday-break (currently PRODUCED here, duplicating L9/s04)","Sentence kept, and 'Je voudrais une pause.' is a genuinely natural alternative (currently only a reveal note). But L10 re-produces this sentence unchanged; L10 should recycle it inside the day rather than re-teach it.",,,,,,,,,
C-L09-02,L9,Ask for the break politely,"Je voudrais faire une pause, s'il vous plaît.","I'd like to take a break, please.",,You're working through something together. It's a good moment to ask.,vous / stranger-facing,core-production,produced (typed),type,,chunk-je-voudrais chunk-faire-une-pause chunk-sil-vous-plait,package + formula,L9,L9,none,REVISE,L9: L9/s05-weave-break-politely,"Sentence kept. Its accepted alternative differs from the expected answer by a comma only, which normalization already strips — it accepts nothing new and should go (D-02).",,,,,,,,,
C-L09-03,L9,"Interrupt, then ask for the break","Excusez-moi, je voudrais faire une pause.","Excuse me, I'd like to take a break.",,The others are mid-conversation and you need to stop.,vous / stranger-facing,core-production,produced (typed),type,,chunk-excusez-moi chunk-je-voudrais chunk-faire-une-pause,formula + owned frame + package,L9,L9,L10,ADD,L9: no current surface,"Asking for a break almost always means interrupting, and the lesson's two current sentences both assume someone is waiting for you to speak. This is the same ask in the situation it actually happens in.",,,,,,,,,
C-L09-04,L9,Announce the break instead of asking,Je vais faire une pause.,I'm going to take a break.,,You are not asking permission this time; you are telling them.,vous / neutral,core-production,produced (typed),type,,chunk-je-vais chunk-faire-une-pause,je vais frame + faire une pause package,L9,L9,L10,ADD,L9: no current surface,"The lesson's real insight is that je voudrais can carry an action. That only lands if the learner also sees a DIFFERENT engine carry the same action — asking versus announcing. It costs no new lexis, recycles L7, and is the clearest engine-contrast available in the first ten lessons.",,,,,,,,,
C-L09-05,L9,"Thirsty, and doing something about it","J'ai soif. Je voudrais un café, s'il vous plaît.","I'm thirsty. I'd like a coffee, please.",,"Model: a state you can name, and the ask that follows it.",vous / stranger-facing,model,model only,read,,chunk-j-ai chunk-je-voudrais noun-cafe chunk-sil-vous-plait,two owned sentences in sequence,L9,never produced,L10,ADD,L9: no current surface,"The first model in the ten lessons where a feeling causes a request. It is the shape most real exchanges have, and every piece is already owned.",,,,,,,,,
C-L09-06,L9,You did not catch the answer,Je ne comprends pas. Vous pouvez répéter ?,I don't understand. Can you say that again?,,"Model: the repair pair, working together for the first time.",vous / stranger-facing,model,model only,read,,chunk-je-ne-comprends-pas chunk-vous-pouvez-repeter,SURVIVAL FORMULAS — both learned whole,L3,L10,L10,ADD,L9: no current surface,"Repair owned in L3, paired here, produced in L10. Shown in L9 because this is the first lesson where the learner asks for something and can genuinely be answered with more French than they can follow.",,,,,,,,,
C-L10-01,L10,Arrive and ask where to go,Bonjour. C'est où ?,Hello. Where is it?,"Bonjour, c'est où ?",Morning. Your first time in this building.,vous / stranger-facing,core-production,produced (typed),type,,chunk-bonjour chunk-c-est-ou,greeting + whole question,L8,L10,L8,REVISE,L8: L8/s06-sayit-find-the-room || L10: L10/s02-weave-arrive-ask-where,"Keep the sentence. Its accepted alternative 'Bonjour, c'est où' (no question mark) should go for the same reason as D-06, and 'Bonjour, c'est où ?' is a real punctuation variant rather than a different sentence.",,,,,,,,,
C-L10-03,L10,Close the day and leave,Merci. Je vais à la maison. Au revoir.,Thank you. I'm going home. Goodbye.,Je vais à la maison. Au revoir.,The day at the new place is done. Someone walks you to the door.,vous / stranger-facing,core-production,produced (typed),type,,chunk-merci chunk-je-vais chunk-a-la-maison chunk-au-revoir,three owned moves,L7,L10,L7,KEEP/REVISE,L7: L7/s06-sayit-take-your-leave || L10: merges L10/s05-weave-close-the-day and L10/s07-sayit-take-your-leave,L10 currently types 'Je vais à la maison. Au revoir.' (identical to L7) and then models the three-beat version in an open task with the same situation as L7's. Typing the three-beat version once is both harder and less repetitive: the learner produces what L7 only modelled.,,,,,,,,,
C-L10-04,L10,Recover when you lose the thread,"Excusez-moi, je ne comprends pas. Vous pouvez répéter ?","Excuse me, I don't understand. Can you say that again?",Je ne comprends pas. Vous pouvez répéter ?,"Someone answers your question quickly, and you catch almost none of it.",vous / stranger-facing,core-production,produced (open task),free-produce,,chunk-excusez-moi chunk-je-ne-comprends-pas chunk-vous-pouvez-repeter,"SURVIVAL FORMULAS — both learned whole, never composed",L1,L10,none,ADD,L10: no current surface,"The single largest gap in L1-L10: the learner can open, ask, order and leave, but cannot recover. A day in French without a repair move is not a day in French. Every piece is a dormant registered item and the L10 syllabus spec's can-do already names it ('recover when I don't understand').",,,,,,,,,
C-L10-06,L10,"Say you are tired, and ask for the break",Je suis fatigué. Je voudrais faire une pause.,I'm tired. I'd like to take a break.,Je suis fatiguée. Je voudrais faire une pause. (feminine form),"Model: the state, then the ask it justifies.",vous / neutral,model,model only,read,,chunk-je-suis chunk-je-voudrais chunk-faire-une-pause chunk-fatigue,"gender-marked — see founder decision D-04; model only, never typed",L2,never produced,none,ADD,L10: no current surface,"Named directly by the L10 syllabus spec, which calls the recombination chunk je-suis-fatigue + je-voudrais-faire-une-pause a supported combination of owned pieces. Kept as a model rather than a production target so the gender agreement never has to be forced on the learner.",,,,,,,,,
C-L10-07,L10,Ask for help,Vous pouvez m'aider ?,Can you help me?,,Preview card: just listen. This one arrives next.,vous / stranger-facing,ghost,ghost / exposure only,listen,,,"n/a — declared preview, never produced in L1-L10",L10,never produced,none,KEEP,L10: L10/s06-meet-preview-help,"The only intentional forward preview in the ten lessons, and it is correctly labelled as one on the card itself. Keep exactly.",,,,,,,,,
C-L10-08,L10,"Refuse, and say where you are going","Non merci, je vais à la maison.","No thank you, I'm going home.",,Model: someone offers one more coffee at the end of the day.,vous / stranger-facing,model,model only,read,,chunk-non-merci chunk-je-vais chunk-a-la-maison,formula + owned frame,L10,never produced,none,ADD,L10: no current surface,"Joins the refusal from L3 to the departure from L7 in one line. It is the most natural end-of-day sentence available from owned pieces, and L10 currently never uses non merci at all.",,,,,,,,,
